Company,Position,Connected On
IEEE,Brand Ambassador,27-Jul-20
Adobe,Software Engineer 2,27-Jul-20
TIBCO,Associate Member Of Technical Staff,27-Jul-20
The Sparks Foundation,Web Development and Design Intern,27-Jul-20
Vereigen Media,Business Development Executive,27-Jul-20
Deloitte India (Offices of the US),Associate Solution Advisor,27-Jul-20
OIPL,Account Manager,27-Jul-20
Freelancer,Freelance,26-Jul-20
Medtronic,Test Engineer,25-Jul-20
Accenture,Application Development Analyst,25-Jul-20
Paysafe Group,Platform Engineer II,25-Jul-20
1st Main,Frontend Developer,25-Jul-20
Volt-Crowd Intergrated Services,Board Advisor,25-Jul-20
Linarc Inc.,Software Developer Engineer,25-Jul-20
Tech Mahindra,Software Engineer,25-Jul-20
Oracle India Pvt. Ltd,Senior Credit and Collections anlyst,25-Jul-20
ADP,Member Technical,25-Jul-20
Anfy srl,"Founder, CEO",25-Jul-20
StrideFuture Technologies Pvt Ltd,Associate Software Engineer,25-Jul-20
Cvent,Mobile Solutions Specialist,25-Jul-20
Spikewell,Summer Intern,25-Jul-20
Vitrana,Associate trainee,25-Jul-20
ShellSquare Softwares,Software Developer Dotnet,25-Jul-20
South Asian Technologies (Pvt) Ltd.,Senior Technical Support Engineer,25-Jul-20
,,25-Jul-20
IBM,"Distinguished Engineer and Director, IBM Data & AI",24-Jul-20
Google,Startup success manager,24-Jul-20
Lean In Bangalore,Lean in Bangalore Data Visualization/Data Science circle lead,24-Jul-20
"National Law University, Delhi","Legal Intern | Centre for Innovation, Intellectual Property and Competition (CIIPC)",22-Jul-20
SRS Consulting Inc,Sr Recruiter,22-Jul-20
RBS,Associate,22-Jul-20
Axitech Nanosystems Pvt Ltd - India,application engineer,22-Jul-20
Publicis Sapient,Associate Technology,22-Jul-20
Hitech Infosoft,.net developer,22-Jul-20
Digital Pixel Pvt. Ltd.,Software Test Engineer,22-Jul-20
KandG Architects,Architectural Intern,22-Jul-20
Unschool ,Sales & Marketing Intern,22-Jul-20
"EOIP [Faculty of Engineering, Cairo University ]",Embedded Hardware Design ,22-Jul-20
"Intelliswift Software, Inc.",Senior Software Engineer,22-Jul-20
EY,Principal Consultant,22-Jul-20
Worley,Project Control Manager,22-Jul-20
HDB Financial Services Ltd.,Sales Manager,22-Jul-20
Tata Consultancy Services,Assistant System Engineer,22-Jul-20
Woxa Technologies Pvt. Ltd.,Software Engineer,22-Jul-20
PhonePe (Flipkart),Senior Software Engineer,22-Jul-20
Unisys India,Research And Development Intern,22-Jul-20
"St. Xavier's University, Kolkata",Undergraduate Economics Major Student ,22-Jul-20
,,22-Jul-20
Mu Sigma Inc.,Decision Scientist,22-Jul-20
Rays Power Infra Private Limited,Administration Manager,22-Jul-20
InRule Technology,"Senior Account Manager, EMEA",22-Jul-20
,,22-Jul-20
Google,Software Engineer,21-Jul-20
Inspirage,Consultant,20-Jul-20
Independent Women,Founder,20-Jul-20
TVS Dynamic Global Freight Services Ltd,Branch Manager,20-Jul-20
India Health Link,Flutter Developer,20-Jul-20
,,20-Jul-20
NITR International MUN,Management Team Member,20-Jul-20
Hitachi Vantara,Consultant,20-Jul-20
Ducat Education,core java training,20-Jul-20
Assetplus consulting,Data Analyst,20-Jul-20
Team ETA,Technical Coordinator,20-Jul-20
,,20-Jul-20
,,20-Jul-20
Delwan Qatar,Software Engineer,20-Jul-20
Icon Resources & Technologies,Assistant Manager HR,20-Jul-20
KPMG US,Data Scientist,20-Jul-20
Brelext Technologies,Flutter Developer,20-Jul-20
SkillShip Foundation,Chapter Manager,20-Jul-20
,,20-Jul-20
,,20-Jul-20
,,20-Jul-20
IÉSEG School of Management,Masters Student,20-Jul-20
10dem Education,Web Developer,19-Jul-20
LV Prasad Film &TV Academy,Marketing Manager,19-Jul-20
Codechef Chapter NITJ, Member,19-Jul-20
Red digital Solutions,Digital Marketing Consultant,19-Jul-20
 -, -,19-Jul-20
Cognino,Data Scientist,19-Jul-20
,,19-Jul-20
,,19-Jul-20
Coding ninjas,Campus Ambassador,19-Jul-20
IBM India Private Limited,Full Stack Developer,19-Jul-20
MakeMyTrip,Lead Software Engineer,19-Jul-20
Morgan Stanley,Angular Lead,19-Jul-20
,,19-Jul-20
CommScope,Software Engineer,19-Jul-20
Franklin Templeton India,Associate Software Engineer,19-Jul-20
Genesis HR Services,HR,19-Jul-20
GirlScript Jalandhar,Graphic Designer,19-Jul-20
,,19-Jul-20
Takenmind Organization,Data analyst intern,19-Jul-20
,,19-Jul-20
"Centre of Training & Placement,NIT Jalandhar",Placement Coordinator,19-Jul-20
Ytech Raj Web Agency ,Web Designer,19-Jul-20
,,19-Jul-20
Self-employed,Entrepreneur l Business Coach,18-Jul-20
BA Continuum India Pvt. Ltd.,Senior Technical Associate,18-Jul-20
Laxmi Machine Tools - India,Quality Engineer,18-Jul-20
Thynkryt Innovations,Machine Learning Intern,18-Jul-20
Zinota Remedies Private Limited,Software Developer,18-Jul-20
School of Leadersh,Business Development Executive,18-Jul-20
Naaniz,Machine Learning Engineer,18-Jul-20
Capco,Consultant II,18-Jul-20
Jazeera,Artificial Intelligence Engineer,18-Jul-20
Freelance | Self Employed,Freelance Web Developer,18-Jul-20
Meritor,Program Manager,17-Jul-20
public sector,job,17-Jul-20
ThoughtWorks,Application Developer,17-Jul-20
Gravityspace Management Consultant,Chairman and MD,17-Jul-20
Saurer Textile Solutions Pvt. Ltd.,Asst. Manager - Project Planning,17-Jul-20
Women Empowered AR Consultant,Human Resources Team Lead,17-Jul-20
,,17-Jul-20
Health and wellness,Self Employed,17-Jul-20
,,17-Jul-20
Jindal Stainless,Associate Manager | Refractory,17-Jul-20
Self-employed,Day Trader,17-Jul-20
Morgan Stanley,Software Engineer,15-Jul-20
Airport authority of India,Summer Internship,15-Jul-20
"Techfest, IIT Bombay",Software Engineer,15-Jul-20
Infosys,Systems Engineer,15-Jul-20
"Students' Association for Alumni Relations (SAAR), IIT Patna",Coordinator,15-Jul-20
Iniesta webtech solution private limited,Web Developer Intern,15-Jul-20
Larsen & Toubro,Software Development Intern,15-Jul-20
ZestMoney,Site Reliability Engineer,15-Jul-20
GAYATRI  PRIVATE  LIMITED,Project Engineer,15-Jul-20
"Punjab Technical University, Jalandhar",Student,15-Jul-20
,,15-Jul-20
upGrad,Technical Intern,15-Jul-20
Talent Engineering Company Egypt,Sr. Java J2EE Developer,15-Jul-20
Brillio,Design Engineer,15-Jul-20
,,15-Jul-20
"Philippine OPPO Mobile Technology, Inc.",Product Engineer,15-Jul-20
,,13-Jul-20
D4 Waste Treatment Engineering PPNS,Lecturer,13-Jul-20
Infosys,System Engineer - Specialist,13-Jul-20
TEDxPESU,Content Writer,13-Jul-20
Infosys,System Engineer,13-Jul-20
,,13-Jul-20
Tata Consultancy Services,Assistant System Engineer,13-Jul-20
,,13-Jul-20
Thrive - A Forum for All,Blogger,13-Jul-20
,,13-Jul-20
,,13-Jul-20
,,13-Jul-20
Tunica Labs Private Limited,SDE Intern,13-Jul-20
Excelpoint Systems (Pte) Ltd,Application Engineer,13-Jul-20
,,13-Jul-20
Servion Global Solutions,Software Engineer,13-Jul-20
QuEST Global,Consultant,13-Jul-20
Orange Business Services,Technical Consultant (Security),13-Jul-20
Accenture in India,Application Development Analyst,13-Jul-20
,,13-Jul-20
"San Diego State University, College of Engineering","Student Assistant, Web Developer",10-Jul-20
BEST ENLIST,Python Intern,10-Jul-20
Freelance Coaching,Fitness Coach,10-Jul-20
Freelancing,Web Developer,10-Jul-20
Microsoft,Microsoft Innovative Educator,10-Jul-20
T-Mobile,Software Engineer at T-Mobile (via reacHire),10-Jul-20
Samsung Electronics,Software Engineer,10-Jul-20
Astorianz Industries,Research Intern,10-Jul-20
Shell,Head of Full Stack Software Development,9-Jul-20
Mindtree,Senior Engineer,9-Jul-20
Cognizant,Associate Projects ,9-Jul-20
Droom Technology,Software Engineer,9-Jul-20
Microsoft,Software Engineer,9-Jul-20
AT&S,World Skill Trainee,9-Jul-20
LoanCare,Business Intelligence Developer,9-Jul-20
SoftColabs AI ML and Analytics Services,Training Advisor,9-Jul-20
Larsen & Toubro Infotech Ltd (LTI),DevOps Lead,9-Jul-20
YAY! - Celebrating Education,YAY  digital fellowship mentor,9-Jul-20
IQVIA,Software Engineer 2,9-Jul-20
Obel Systems Pvt Ltd,Software Engineer,9-Jul-20
IBM,Lead Systems Programmer - Data Science ,9-Jul-20
Reliance Industries Limited,Instrumentation and Control Engineer,9-Jul-20
Scirekn Technologies Pvt Ltd,Application Developer intern,9-Jul-20
TechieGen - The Student Community,Campus Ambassador,9-Jul-20
"Indian Institute of Technology, Madras",Research Intern,9-Jul-20
TriangleLearn,Founder,9-Jul-20
wiTTyMinds Technologies,Web Developer,9-Jul-20
JPMorgan Chase & Co.,Software Engineer,9-Jul-20
,,9-Jul-20
Microsoft,Software Engineer II (SRE),9-Jul-20
,,9-Jul-20
PrepBytes,Campus Business Manager,9-Jul-20
Apeiron Management,Consultant,9-Jul-20
,,9-Jul-20
ACI Worldwide,Associate Software Engineer,9-Jul-20
StruDoc,Co-Founder,9-Jul-20
lakkireddy balireddy college of engineering ,Student,9-Jul-20
GDG Cloud Thessaloniki,Lead  (Volunteer),9-Jul-20
Self Employed,Financial Advisor,9-Jul-20
ITC Infotech,Tech Lead,9-Jul-20
Capgemini,Senior Analyst,9-Jul-20
City of Covington,Division Manager,9-Jul-20
Self-Employed,Recruitment Specialist,9-Jul-20
Nokia,Student Intern,8-Jul-20
,,8-Jul-20
SenSen Networks,Software Engineer,8-Jul-20
Zoho Corporation,Member Technical Staff,8-Jul-20
Shell,SAP HANA Developer,8-Jul-20
,,8-Jul-20
,,8-Jul-20
Codechef Chapter NITJ,Community member,8-Jul-20
,,8-Jul-20
The Debating Society of NSUT,Executive Committee Member,8-Jul-20
Self Employed,Media Buyer,8-Jul-20
Wipro Digital,Architect - Cloud  Partner Platforms for AI Solutions,8-Jul-20
CodeNation,Software Development Engineer,8-Jul-20
,,8-Jul-20
,,8-Jul-20
,,8-Jul-20
"Developer Student Clubs, NIT Raipur",Core Member,8-Jul-20
"Indian Institute of Technology, Kharagpur",Undergraduate Research Assistant,8-Jul-20
,,8-Jul-20
,,8-Jul-20
Tata Consultancy Services,Web Content Management System Developer,8-Jul-20
The Sparks Foundation,Data Science and Analytics Intern,8-Jul-20
Vellore Institute of Technology,Student,8-Jul-20
Diebold Nixdorf,Data Analytics Intern,8-Jul-20
Google,Google Developers Group Member,8-Jul-20
Code for Change,Treasurer,8-Jul-20
,,8-Jul-20
MAQ Software,Software Engineer,8-Jul-20
,,8-Jul-20
Amazon,Software Development Engineer,8-Jul-20
,,8-Jul-20
Indian Institute of Information Technology Lucknow,Placement Executive,8-Jul-20
,,8-Jul-20
Coding Ninjas India,Campus Ninja,8-Jul-20
DBS Bank,Senior Associate - Lead Test Engineer,8-Jul-20
Cognizant,Senior Manager,8-Jul-20
GeeksforGeeks,Technical Writer,8-Jul-20
Appointy India,Content and Marketing Intern,8-Jul-20
PrepBytes,Campus Business Manager,8-Jul-20
Oracle,Senior Member Of Technical Staff,8-Jul-20
CodeSpeedy Technology Private Limited,Python Developer,8-Jul-20
Wipro Limited,Network Engineer,8-Jul-20
Kenilworth Global Consulting,Business Development Intern,8-Jul-20
Sri Venkateswara College of Engineering,"Mentor, Forum of Data Science Engineers(FODSE)",8-Jul-20
,,8-Jul-20
IEEE Computer Society,Member,8-Jul-20
IISER Bhopal,Teaching Assistant,8-Jul-20
,,8-Jul-20
Truminds Software Systems,Software Engineer,8-Jul-20
WooTech,Mentor,8-Jul-20
Internshala,Internshala Student Partner 19,8-Jul-20
Clevercheckin.com,Software Engineer Intern ,8-Jul-20
"College of Engineering and Technology, Bhubaneswar",Student,8-Jul-20
The Linux Foundation,Scholarship Recipient ,8-Jul-20
IEEE,Membership Coordinator,8-Jul-20
University of Nottingham Malaysia,Computer Vision,8-Jul-20
,,8-Jul-20
Mody University of Science and Technology,Student Placement Coordinator,8-Jul-20
"Indian Institute of Technology, Patna",Summer Intern,8-Jul-20
MoneyTap,Software Engineer,8-Jul-20
,,8-Jul-20
Developer Student Club IIT Bhilai,Machine Learning Core ,8-Jul-20
Script Winter of Code,Mentor at SWOC,8-Jul-20
"ICT Academy, IIT Kanpur",Campus Ambassador || Outreach Team member,8-Jul-20
International MUN ,Official Campus Ambassador,8-Jul-20
Wibmo,Software Engineer Trainee,8-Jul-20
uTrade Solutions,Business Analyst,8-Jul-20
Kaizen Globe,Web Developer,8-Jul-20
Uniper,Data Engineer,8-Jul-20
Expedia Group,Software Dev Engineer,8-Jul-20
BYJU'S,Business Development Associate,8-Jul-20
Amsterdam Trade Bank,Data Scientist ,8-Jul-20
VMware,Member Of Technical Staff - 1,8-Jul-20
,,8-Jul-20
Deloitte India (Offices of the US),Cyber Risk Analyst,8-Jul-20
GeeksforGeeks,Technical Content Reviewer,8-Jul-20
Microsoft,Beta Microsoft Learn Student Ambassador,8-Jul-20
Tata Consultancy Services,Software Developer,8-Jul-20
NVIDIA,Deep Learning Research Intern,8-Jul-20
Microsoft,Beta Microsoft Learn Student Ambassador,8-Jul-20
Developer Student Club - IIIT Kalyani,DSC Lead,8-Jul-20
Harvard Business Review,Member,8-Jul-20
,,8-Jul-20
,,8-Jul-20
DRISHTI-A Revolutionary Concept,Team member,8-Jul-20
Tata Consultancy Services,Assistant System Engineer - Trainee,8-Jul-20
Allsoft Solutions Services Pvt Ltd. and IBM Business Partner,Student Intern,8-Jul-20
,,8-Jul-20
InternMind,Campus Ambassador,8-Jul-20
"Finicity, a Mastercard Company",Software Engineer,8-Jul-20
NinthSem,Community Leader,8-Jul-20
Student,Student,8-Jul-20
,,8-Jul-20
,,8-Jul-20
Panankolli Coffee Estates.,Owner ,8-Jul-20
,,8-Jul-20
Google,Program Manager II,8-Jul-20
City University of New York-Herbert H. Lehman College,Student,8-Jul-20
,,8-Jul-20
The Premier Bank Ltd,Senior Executive,8-Jul-20
Developer Student Clubs - GGV ,Android Study Jams Facilitator,8-Jul-20
Tercen,Machine Learning Engineer,8-Jul-20
,,8-Jul-20
"Entrepreneurship Cell, IIT Kanpur",Secretary SIP,8-Jul-20
ZS,Data Scientist,8-Jul-20
Udacity,Intel Edge AI Scholar Foundation Programme,8-Jul-20
Vivantaa Capital,Strategic Deal Origination Partner ,8-Jul-20
CHANDIGARH UNIVERSITY,Workshop Club Leader,8-Jul-20
Iris Software Inc.,Solutions Consultant,8-Jul-20
Smilycon,Back End Developer,8-Jul-20
PwC India,Senior Consultant (Data & Analytics),8-Jul-20
Ofogh Koorosh Chain stores,Pricing Data Analyst ,8-Jul-20
Anukai Solutions,Lead Machine Learning Engineer,8-Jul-20
,,8-Jul-20
DataIQ School of Analysis,Founder,8-Jul-20
Internshala,Internshala Student Partner,8-Jul-20
expertitzone,Front End Development,8-Jul-20
IIEC Rise,IIEC-Python Success Head,7-Jul-20
Toppr,Software Engineer - Backend,7-Jul-20
"IEEE Professional Communication Society, VIT Vellore",Senior Core Member,7-Jul-20
Shell,Software Engineer,7-Jul-20
KNIPEX Tools India Private Limited,Digital marketing and E commerce Executive,7-Jul-20
,,7-Jul-20
OFFROAD PUBLISHING,Marketing Leader,7-Jul-20
Shri G S Institute of Technology & Science,Placement Coordinator,6-Jul-20
Sun Infotech Systems,"automation, service and repairing Engineer",6-Jul-20
Tata Insights and Quants - A Division of Tata Industries Limited,Assistant Manager,6-Jul-20
,,6-Jul-20
College,Student,6-Jul-20
Infogain,Software Engineer,6-Jul-20
Razorpay,Software Development Engineer,6-Jul-20
LIC,Direct Sales Advisor,6-Jul-20
,,6-Jul-20
OJASS - NIT Jamshedpur,Public Relations Team,6-Jul-20
FASTRA CORPORATION,Senior Technical recruiter,6-Jul-20
"Bharatiya Janata Yuva Morcha, BJYM",National Media In-Charge,6-Jul-20
Grapevine India,Campus Ambassador,2-Jul-20
Self-Employed,Freelance HR,2-Jul-20
Capgemini,Process Specialist,2-Jul-20
Shyena Tech Yarns Pvt Ltd,Python Developer,1-Jul-20
Easy Life Home Care,Community Support Worker,1-Jul-20
Google Cloud ,Facilitator-30 Days of Google Cloud,1-Jul-20
Microsoft,Undergraduate and Master Virtual Internship Platform,1-Jul-20
ORVI,Customer Relations Executive,1-Jul-20
Capgemini,Consultant,1-Jul-20
Vellore Institute of Technology,Student,1-Jul-20
Think Future Technologies,Senior Machine Learning Engineer,1-Jul-20
IT WEB DESIGNING,Business Development Manager,1-Jul-20
AugRay,Data Science Intern,1-Jul-20
Bank of America,Senior Technical Associate,1-Jul-20
TEDxVITChennai,Organizing Committee Member(Logistics and Hospitality),1-Jul-20
Microsoft,Senior Design Manager - Microsoft Teams,29-Jun-20
,,28-Jun-20
,,28-Jun-20
TEDxVITChennai,Marketing and Social Media OC,28-Jun-20
Chemicals Incorporated ,Chemical Plant Engineer,28-Jun-20
,,28-Jun-20
Nexright,Software Engineer,28-Jun-20
Consultor ,Consultor SEO & LocalSEO,28-Jun-20
Team Perianth_SAE INDIA,Technical Team Lead,28-Jun-20
VakilDesk,Web Development Intern,28-Jun-20
Wipro Limited,Senior Software Engineer,28-Jun-20
UAceIt,C++ Instructor,27-Jun-20
Microsoft,Developer Relations Program Manager II (Cloud + AI),27-Jun-20
Microsoft,Principal Director of Design,27-Jun-20
Amity Coding Club,Web Content Writer,27-Jun-20
Shriram Transport Finance Company Limited,Relationship Officer,27-Jun-20
Google Developers,GOOGLE DSC LEAD MUET KHP ,27-Jun-20
,,27-Jun-20
"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Student,27-Jun-20
Ladder,Co-Founder,26-Jun-20
,,25-Jun-20
Apphienz Inc,CEO and Founder,25-Jun-20
Poornima University,Cyber Security Student,25-Jun-20
Tech & Nature,Sales & Partnerships,25-Jun-20
Skillenza,Hustler,25-Jun-20
,,25-Jun-20
"E-Cell, XLRI",Campus Ambassador,25-Jun-20
iSmileTechnologies,Data Science Intern,25-Jun-20
Virtusa,Associate Engineer-Technology,25-Jun-20
"Rubrik, Inc.",Software Engineer Intern,25-Jun-20
MRF,Operations Team Member,25-Jun-20
YUKTA Leadership Development,"Author, Speaker, Entrepreneur",25-Jun-20
Taazaa Inc,Head HR & Talent Acquisition,25-Jun-20
Flex,Senior RPA developer,25-Jun-20
SES Satellites,Flight Dynamics Engineer,25-Jun-20
Tata Consultancy Services,Assistant System Engineer-Trainee,25-Jun-20
Google Developers,DSC Community Lead,25-Jun-20
Wipro Limited,Data Engineer,25-Jun-20
Synchronos Solutions Pvt ltd,Consultant,25-Jun-20
"National Institute of Technology, Andhra Pradesh", vice-chairman at AI and Robotics Club NIT Andhra Pradesh,25-Jun-20
Qualcomm,Engineer-1,25-Jun-20
Microsoft,Software Engineer,24-Jun-20
Freelance,Freelance Content Writer,18-Jun-20
Jeeva Senthilnathan for Parker Town Council!,City Council Member Candidate,18-Jun-20
"National Power Training Institute, Nagpur",Training Placement Coordinator,18-Jun-20
Flutin,Software Engineer,18-Jun-20
,,18-Jun-20
Institue of Cost Accountants of India,Student ,18-Jun-20
WomenTech Network,Global Ambassador,18-Jun-20
Crime Dot Com,"Author, Crime Dot Com",18-Jun-20
"MEDNAX, Health Solutions Partner",Chief Quality and Innovation Officer,17-Jun-20
WomenTech Network,WomenTech Global Ambassador,17-Jun-20
GitHub,Student Developer,17-Jun-20
Scribeless | The Handwriting Company,Software Engineer,16-Jun-20
HakinCodes,Founding Executive Director,16-Jun-20
MilliPixels Interactive LLP,Content Specialist,16-Jun-20
Thermax Limited,Territory Sales Executive,16-Jun-20
"Syngenta Bitechnology Inc., USA",Senior Research Scientist,16-Jun-20
The Sparks Foundation,Data Science & Business Analytics,16-Jun-20
TriState Technology ,Senior Business Development Manager,16-Jun-20
Aansh Associates,Business Owner,16-Jun-20
Teleperformance,Customer Service Representative,16-Jun-20
Lovely Professional University,Student,16-Jun-20
Britt World Wide India,*E Commerce Entrepreneur*,16-Jun-20
Kongsberg Digital, Software Engineer,16-Jun-20
Accenture,Application Software Associate,16-Jun-20
GTU Innovation Council,VP of Industrial Relations,16-Jun-20
madBlocks,App Development Bootcamp,16-Jun-20
,,16-Jun-20
IEEE WIE ADIT SB,Chairperson,16-Jun-20
SiriusXM,Senior Analyst - Subscriber Management and Analysis,16-Jun-20
Microsoft,Software Engineer 2,16-Jun-20
OLX Group,Product Lead,13-Jun-20
Mywbut,Trainee,13-Jun-20
SKS Business Services,Head Of Audit,13-Jun-20
Sinhgad Institute of Technology & Science,Assistant Professor,13-Jun-20
Mu Sigma Inc.,Apprentice,13-Jun-20
Student,Student,13-Jun-20
,,13-Jun-20
Hoodie Electronics LLP,Machine Learning Intern,13-Jun-20
Omdena,Junior Machine Learning Engineer,13-Jun-20
Kelly Technologies,SEO Executive,13-Jun-20
MetricStream,Member Of Technical Staff,13-Jun-20
WomenTech Network,WomenTech Country Leader,13-Jun-20
Microsoft,Software Development Engineer II,12-Jun-20
Equality Forward,Managing Director,11-Jun-20
Sagveek Technologies,Machine Learning Intern,10-Jun-20
SSM InfoTech Solutions Pvt. Ltd.,Tender Manager,10-Jun-20
